Date,Source Ozone AQI Value,Ozone_AQI Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
11/17/19,AQS,18,AQS,84
11/18/19,AQS,19,AQS,52
11/19/19,AQS,22,AQS,57
11/20/19,AQS,23,AQS,63
11/21/19,AQS,30,AQS,58
11/22/19,AQS,16,AQS,39
11/23/19,AQS,20,AQS,58
11/24/19,AQS,23,AQS,60
11/25/19,AQS,24,AQS,59
11/26/19,AQS,28,AQS,66
11/27/19,AQS,24,AQS,61
11/28/19,AQS,19,AQS,48
11/29/19,AQS,13,AQS,55
11/30/19,AQS,20,AQS,53
12/1/19,AQS,26,AQS,28
12/2/19,AQS,29,AQS,43
12/3/19,AQS,23,AQS,62
12/4/19,AQS,27,AQS,31
12/5/19,AQS,29,AQS,58
12/6/19,AQS,23,AQS,56
12/7/19,AQS,24,AQS,64
12/8/19,AQS,31,AQS,67
12/9/19,AQS,28,AQS,57
12/10/19,AQS,31,AQS,42
12/11/19,AQS,22,AQS,55
12/12/19,AQS,26,AQS,52
12/13/19,AQS,21,AQS,59
12/14/19,AQS,25,AQS,64
12/15/19,AQS,19,AQS,58
12/16/19,AQS,24,AQS,66
12/17/19,AQS,29,AQS,58
12/18/19,AQS,28,AQS,78
12/19/19,AQS,24,AQS,73
12/20/19,AQS,25,AQS,72
12/21/19,AQS,29,AQS,71
12/22/19,AQS,31,AQS,81
12/23/19,AQS,26,AQS,91
12/24/19,AQS,26,AQS,66
12/25/19,AQS,30,AQS,52
12/26/19,AQS,26,AQS,54
12/27/19,AQS,14,AQS,70
12/28/19,AQS,24,AQS,77
12/29/19,AQS,32,AQS,32
12/30/19,AQS,30,AQS,34
12/31/19,AQS,30,AQS,32
