GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",87,Natural resources and mining,(D),(D),(D),(D),1545215,1490052,1870290,1521516,1338100,1483212,1304802,1365229,1348672,1084956,1322301,1341697,1440785,1685322
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),(D),10370620,11907051,11924779,12415463,12420945,13477311,14275657,14482490,15881948,17282221,17734377,17888583,19271817,20496790
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",66326,93933,91476,115148,127537,136980,119292,191632,208237,370617,549951,468210,471175,504713,233367,457129,464121,549585
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",10,    Utilities,1565210,1442502,1549922,1861955,1780510,(D),(D),2126408,2288002,2450416,2500542,2418203,2522426,(D),(D),(D),(D),2963215
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",11,    Construction,6826459,6899423,7549055,8566189,9099828,9043844,9114320,7945552,6383008,5475576,5701557,6214648,6995686,7700262,8618411,9137352,9639830,10063452
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",12,    Manufacturing,19198041,19547690,22004217,23613935,25237933,25664199,24526918,25181685,24727377,26100333,28649166,29864161,30751118,33332928,33242205,32873324,34450330,36549052
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6451061,6635889,7343215,7737732,8297372,8655194
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",87,Natural resources and mining,208577,301279,370795,524351,481810,505736,474255,668382,609248,794893,1135323,1128319,982951,1028138,792154,969574,1033798,1061899
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8973487,(D),(D),(D),(D),11618408
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",278758,(D),232019,291607,360629,384497,417333,374407,398052,314556,(D),329959,423369,314452,374202,447275,351130,(D)
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",10,    Utilities,(D),8806123,(D),(D),11000951,(D),(D),(D),(D),(D),(D),(D),14907306,(D),(D),15765939,(D),17142894
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",11,    Construction,(D),(D),32437006,34494807,36983479,38995520,42488881,41764578,38682135,34725092,34108294,36269960,40033913,(D),(D),(D),53628826,55829143
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",12,    Manufacturing,(D),(D),(D),63476430,(D),66264033,(D),68673439,(D),(D),(D),(D),(D),(D),(D),(D),68205038,(D)
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),42519912,44836314,(D)
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",87,Natural resources and mining,595988,(D),(D),680260,(D),(D),(D),1096247,(D),(D),(D),(D),(D),(D),1147469,1257059,(D),(D)
