Geography,Date,Type,Percent Change from Baseline,ID Geography
Washington,5/4/20,Grocery and Pharmacy,-7,04000US53
Washington,5/5/20,Grocery and Pharmacy,1,04000US53
Washington,5/6/20,Grocery and Pharmacy,-5,04000US53
Washington,5/7/20,Grocery and Pharmacy,-2,04000US53
Washington,5/8/20,Grocery and Pharmacy,0,04000US53
Washington,5/9/20,Grocery and Pharmacy,8,04000US53
Washington,5/10/20,Grocery and Pharmacy,10,04000US53
Washington,5/11/20,Grocery and Pharmacy,-11,04000US53
Washington,5/12/20,Grocery and Pharmacy,-6,04000US53
Washington,5/13/20,Grocery and Pharmacy,-4,04000US53
Washington,5/14/20,Grocery and Pharmacy,-6,04000US53
Washington,5/15/20,Grocery and Pharmacy,-6,04000US53
Washington,5/16/20,Grocery and Pharmacy,-10,04000US53
Washington,5/17/20,Grocery and Pharmacy,-7,04000US53
Washington,5/18/20,Grocery and Pharmacy,-8,04000US53
Washington,5/19/20,Grocery and Pharmacy,-5,04000US53
Washington,5/20/20,Grocery and Pharmacy,-5,04000US53
Washington,5/21/20,Grocery and Pharmacy,-4,04000US53
Washington,5/22/20,Grocery and Pharmacy,-2,04000US53
Washington,5/23/20,Grocery and Pharmacy,-4,04000US53
Washington,5/24/20,Grocery and Pharmacy,-2,04000US53
Washington,5/25/20,Grocery and Pharmacy,-10,04000US53
Washington,5/26/20,Grocery and Pharmacy,-3,04000US53
Washington,5/27/20,Grocery and Pharmacy,-1,04000US53
Washington,5/28/20,Grocery and Pharmacy,-1,04000US53
Washington,5/29/20,Grocery and Pharmacy,-3,04000US53
Washington,5/30/20,Grocery and Pharmacy,-13,04000US53
Washington,5/31/20,Grocery and Pharmacy,-6,04000US53
Washington,6/1/20,Grocery and Pharmacy,-2,04000US53
Washington,6/2/20,Grocery and Pharmacy,-1,04000US53
Washington,6/3/20,Grocery and Pharmacy,2,04000US53
Washington,6/4/20,Grocery and Pharmacy,1,04000US53
Washington,6/5/20,Grocery and Pharmacy,-2,04000US53
Washington,6/6/20,Grocery and Pharmacy,-3,04000US53
Washington,6/7/20,Grocery and Pharmacy,-4,04000US53
Washington,6/8/20,Grocery and Pharmacy,-4,04000US53
Washington,6/9/20,Grocery and Pharmacy,-3,04000US53
Washington,6/10/20,Grocery and Pharmacy,0,04000US53
Washington,6/11/20,Grocery and Pharmacy,-1,04000US53
Washington,6/12/20,Grocery and Pharmacy,-4,04000US53
Washington,6/13/20,Grocery and Pharmacy,-4,04000US53
Washington,6/14/20,Grocery and Pharmacy,-4,04000US53
Washington,6/15/20,Grocery and Pharmacy,-5,04000US53
Washington,6/16/20,Grocery and Pharmacy,0,04000US53
Washington,6/17/20,Grocery and Pharmacy,1,04000US53
Washington,6/18/20,Grocery and Pharmacy,4,04000US53
Washington,6/19/20,Grocery and Pharmacy,1,04000US53
Washington,6/20/20,Grocery and Pharmacy,1,04000US53
Washington,6/21/20,Grocery and Pharmacy,2,04000US53
Washington,6/22/20,Grocery and Pharmacy,-3,04000US53
Washington,6/23/20,Grocery and Pharmacy,0,04000US53
Washington,6/24/20,Grocery and Pharmacy,0,04000US53
Washington,6/25/20,Grocery and Pharmacy,3,04000US53
Washington,6/26/20,Grocery and Pharmacy,-2,04000US53
Washington,6/27/20,Grocery and Pharmacy,-6,04000US53
Washington,6/28/20,Grocery and Pharmacy,-5,04000US53
Washington,6/29/20,Grocery and Pharmacy,-4,04000US53
Washington,6/30/20,Grocery and Pharmacy,0,04000US53
Washington,7/1/20,Grocery and Pharmacy,4,04000US53
Washington,7/2/20,Grocery and Pharmacy,12,04000US53
Washington,7/3/20,Grocery and Pharmacy,13,04000US53
Washington,7/4/20,Grocery and Pharmacy,-1,04000US53
Washington,7/5/20,Grocery and Pharmacy,-9,04000US53
Washington,7/6/20,Grocery and Pharmacy,-1,04000US53
Washington,7/7/20,Grocery and Pharmacy,0,04000US53
Washington,7/8/20,Grocery and Pharmacy,1,04000US53
Washington,7/9/20,Grocery and Pharmacy,1,04000US53
Washington,7/10/20,Grocery and Pharmacy,0,04000US53
Washington,7/11/20,Grocery and Pharmacy,-3,04000US53
Washington,7/12/20,Grocery and Pharmacy,-2,04000US53
Washington,7/13/20,Grocery and Pharmacy,-1,04000US53
Washington,7/14/20,Grocery and Pharmacy,2,04000US53
Washington,7/15/20,Grocery and Pharmacy,3,04000US53
Washington,7/16/20,Grocery and Pharmacy,2,04000US53
Washington,7/17/20,Grocery and Pharmacy,-1,04000US53
Washington,7/18/20,Grocery and Pharmacy,0,04000US53
Washington,7/19/20,Grocery and Pharmacy,1,04000US53
Washington,7/20/20,Grocery and Pharmacy,0,04000US53
Washington,7/21/20,Grocery and Pharmacy,2,04000US53
Washington,7/22/20,Grocery and Pharmacy,0,04000US53
Washington,7/23/20,Grocery and Pharmacy,-1,04000US53
Washington,7/24/20,Grocery and Pharmacy,-3,04000US53
Washington,7/25/20,Grocery and Pharmacy,-1,04000US53
Washington,7/26/20,Grocery and Pharmacy,0,04000US53
Washington,7/27/20,Grocery and Pharmacy,-1,04000US53
Washington,7/28/20,Grocery and Pharmacy,0,04000US53
Washington,7/29/20,Grocery and Pharmacy,1,04000US53
Washington,7/30/20,Grocery and Pharmacy,2,04000US53
Washington,7/31/20,Grocery and Pharmacy,1,04000US53
Washington,8/1/20,Grocery and Pharmacy,0,04000US53
Washington,8/2/20,Grocery and Pharmacy,0,04000US53
Washington,8/3/20,Grocery and Pharmacy,1,04000US53
Washington,8/4/20,Grocery and Pharmacy,3,04000US53
Washington,8/5/20,Grocery and Pharmacy,1,04000US53
Washington,8/6/20,Grocery and Pharmacy,-1,04000US53
Washington,8/7/20,Grocery and Pharmacy,-2,04000US53
Washington,2/15/20,Parks,8,04000US53
Washington,2/16/20,Parks,19,04000US53
Washington,2/17/20,Parks,63,04000US53
Washington,2/18/20,Parks,52,04000US53
Washington,2/19/20,Parks,60,04000US53
Washington,2/20/20,Parks,53,04000US53
Washington,2/21/20,Parks,55,04000US53
Washington,2/22/20,Parks,44,04000US53
Washington,2/23/20,Parks,-11,04000US53
Washington,2/24/20,Parks,15,04000US53
Washington,2/25/20,Parks,36,04000US53
Washington,2/26/20,Parks,48,04000US53
Washington,2/27/20,Parks,57,04000US53
Washington,2/28/20,Parks,31,04000US53
Washington,2/29/20,Parks,31,04000US53
Washington,3/1/20,Parks,27,04000US53
Washington,3/2/20,Parks,-7,04000US53
Washington,3/3/20,Parks,23,04000US53
Washington,3/4/20,Parks,56,04000US53
Washington,3/5/20,Parks,21,04000US53
Washington,3/6/20,Parks,13,04000US53
Washington,3/7/20,Parks,18,04000US53
Washington,3/8/20,Parks,34,04000US53
Washington,3/9/20,Parks,49,04000US53
Washington,3/10/20,Parks,37,04000US53
Washington,3/11/20,Parks,46,04000US53
Washington,3/12/20,Parks,39,04000US53
Washington,3/13/20,Parks,-15,04000US53
Washington,3/14/20,Parks,3,04000US53
Washington,3/15/20,Parks,28,04000US53
Washington,3/16/20,Parks,45,04000US53
Washington,3/17/20,Parks,62,04000US53
Washington,3/18/20,Parks,93,04000US53
Washington,3/19/20,Parks,87,04000US53
Washington,3/20/20,Parks,86,04000US53
Washington,3/21/20,Parks,75,04000US53
Washington,3/22/20,Parks,30,04000US53
Washington,3/23/20,Parks,-4,04000US53
Washington,3/24/20,Parks,-3,04000US53
Washington,3/25/20,Parks,7,04000US53
Washington,3/26/20,Parks,-15,04000US53
Washington,3/27/20,Parks,-19,04000US53
Washington,3/28/20,Parks,-26,04000US53
Washington,3/29/20,Parks,-11,04000US53
Washington,3/30/20,Parks,-26,04000US53
Washington,3/31/20,Parks,-1,04000US53
Washington,4/1/20,Parks,18,04000US53
Washington,4/2/20,Parks,-1,04000US53
Washington,4/3/20,Parks,-12,04000US53
Washington,4/4/20,Parks,5,04000US53
Washington,4/5/20,Parks,-11,04000US53
Washington,4/6/20,Parks,24,04000US53
Washington,4/7/20,Parks,37,04000US53
Washington,4/8/20,Parks,51,04000US53
Washington,4/9/20,Parks,49,04000US53
Washington,4/10/20,Parks,36,04000US53
Washington,4/11/20,Parks,3,04000US53
Washington,4/12/20,Parks,3,04000US53
Washington,4/13/20,Parks,19,04000US53
Washington,4/14/20,Parks,37,04000US53
Washington,4/15/20,Parks,33,04000US53
Washington,4/16/20,Parks,44,04000US53
Washington,4/17/20,Parks,31,04000US53
Washington,4/18/20,Parks,-8,04000US53
Washington,4/19/20,Parks,17,04000US53
Washington,4/20/20,Parks,33,04000US53
Washington,4/21/20,Parks,14,04000US53
Washington,4/22/20,Parks,-23,04000US53
Washington,4/23/20,Parks,2,04000US53
Washington,4/24/20,Parks,17,04000US53
Washington,4/25/20,Parks,8,04000US53
Washington,4/26/20,Parks,13,04000US53
Washington,4/27/20,Parks,9,04000US53
Washington,4/28/20,Parks,28,04000US53
Washington,4/29/20,Parks,31,04000US53
Washington,4/30/20,Parks,17,04000US53
Washington,5/1/20,Parks,40,04000US53
Washington,5/2/20,Parks,-20,04000US53
Washington,5/3/20,Parks,9,04000US53
Washington,5/4/20,Parks,18,04000US53
Washington,5/5/20,Parks,78,04000US53
Washington,5/6/20,Parks,36,04000US53
Washington,5/7/20,Parks,80,04000US53
Washington,5/8/20,Parks,103,04000US53
Washington,5/9/20,Parks,108,04000US53
Washington,5/10/20,Parks,77,04000US53
Washington,5/11/20,Parks,25,04000US53
Washington,5/12/20,Parks,28,04000US53
Washington,5/13/20,Parks,56,04000US53
Washington,5/14/20,Parks,41,04000US53
Washington,5/15/20,Parks,84,04000US53
Washington,5/16/20,Parks,17,04000US53
Washington,5/17/20,Parks,45,04000US53
Washington,5/18/20,Parks,46,04000US53
Washington,5/19/20,Parks,59,04000US53
Washington,5/20/20,Parks,29,04000US53
Washington,5/21/20,Parks,25,04000US53
Washington,5/22/20,Parks,51,04000US53
Washington,5/23/20,Parks,91,04000US53
Washington,5/24/20,Parks,101,04000US53
Washington,5/25/20,Parks,35,04000US53
Washington,5/26/20,Parks,81,04000US53
Washington,5/27/20,Parks,125,04000US53
Washington,5/28/20,Parks,102,04000US53
Washington,5/29/20,Parks,112,04000US53
Washington,5/30/20,Parks,-7,04000US53
Washington,5/31/20,Parks,31,04000US53
Washington,6/1/20,Parks,69,04000US53
Washington,6/2/20,Parks,63,04000US53
Washington,6/3/20,Parks,93,04000US53
Washington,6/4/20,Parks,84,04000US53
Washington,6/5/20,Parks,76,04000US53
Washington,6/6/20,Parks,65,04000US53
Washington,6/7/20,Parks,46,04000US53
Washington,6/8/20,Parks,46,04000US53
Washington,6/9/20,Parks,21,04000US53
Washington,6/10/20,Parks,103,04000US53
Washington,6/11/20,Parks,81,04000US53
Washington,6/12/20,Parks,56,04000US53
Washington,6/13/20,Parks,48,04000US53
Washington,6/14/20,Parks,80,04000US53
Washington,6/15/20,Parks,19,04000US53
Washington,6/16/20,Parks,91,04000US53
Washington,6/17/20,Parks,126,04000US53
Washington,6/18/20,Parks,133,04000US53
Washington,6/19/20,Parks,137,04000US53
Washington,6/20/20,Parks,80,04000US53
Washington,6/21/20,Parks,93,04000US53
Washington,6/22/20,Parks,122,04000US53
Washington,6/23/20,Parks,145,04000US53
