Geography,Date,Type,Percent Change from Baseline,ID Geography
Minnesota,6/1/20,Parks,119,04000US27
Minnesota,6/2/20,Parks,84,04000US27
Minnesota,6/3/20,Parks,165,04000US27
Minnesota,6/4/20,Parks,145,04000US27
Minnesota,6/5/20,Parks,172,04000US27
Minnesota,6/6/20,Parks,132,04000US27
Minnesota,6/7/20,Parks,189,04000US27
Minnesota,6/8/20,Parks,138,04000US27
Minnesota,6/9/20,Parks,74,04000US27
Minnesota,6/10/20,Parks,123,04000US27
Minnesota,6/11/20,Parks,179,04000US27
Minnesota,6/12/20,Parks,189,04000US27
Minnesota,6/13/20,Parks,162,04000US27
Minnesota,6/14/20,Parks,216,04000US27
Minnesota,6/15/20,Parks,154,04000US27
Minnesota,6/16/20,Parks,184,04000US27
Minnesota,6/17/20,Parks,187,04000US27
Minnesota,6/18/20,Parks,88,04000US27
Minnesota,6/19/20,Parks,186,04000US27
Minnesota,6/20/20,Parks,139,04000US27
Minnesota,6/21/20,Parks,183,04000US27
Minnesota,6/22/20,Parks,165,04000US27
Minnesota,6/23/20,Parks,179,04000US27
Minnesota,6/24/20,Parks,208,04000US27
Minnesota,6/25/20,Parks,195,04000US27
Minnesota,6/26/20,Parks,163,04000US27
Minnesota,6/27/20,Parks,193,04000US27
Minnesota,6/28/20,Parks,191,04000US27
Minnesota,6/29/20,Parks,108,04000US27
Minnesota,6/30/20,Parks,166,04000US27
Minnesota,7/1/20,Parks,172,04000US27
Minnesota,7/2/20,Parks,197,04000US27
Minnesota,7/3/20,Parks,233,04000US27
Minnesota,7/4/20,Parks,202,04000US27
Minnesota,7/5/20,Parks,181,04000US27
Minnesota,7/6/20,Parks,145,04000US27
Minnesota,7/7/20,Parks,176,04000US27
Minnesota,7/8/20,Parks,150,04000US27
Minnesota,7/9/20,Parks,147,04000US27
Minnesota,7/10/20,Parks,193,04000US27
Minnesota,7/11/20,Parks,134,04000US27
Minnesota,7/12/20,Parks,263,04000US27
Minnesota,7/13/20,Parks,177,04000US27
Minnesota,7/14/20,Parks,126,04000US27
Minnesota,7/15/20,Parks,211,04000US27
Minnesota,7/16/20,Parks,193,04000US27
Minnesota,7/17/20,Parks,165,04000US27
Minnesota,7/18/20,Parks,128,04000US27
Minnesota,7/19/20,Parks,253,04000US27
Minnesota,7/20/20,Parks,195,04000US27
Minnesota,7/21/20,Parks,151,04000US27
Minnesota,7/22/20,Parks,188,04000US27
Minnesota,7/23/20,Parks,203,04000US27
Minnesota,7/24/20,Parks,162,04000US27
Minnesota,7/25/20,Parks,113,04000US27
Minnesota,7/26/20,Parks,174,04000US27
Minnesota,7/27/20,Parks,197,04000US27
Minnesota,7/28/20,Parks,195,04000US27
Minnesota,7/29/20,Parks,202,04000US27
Minnesota,7/30/20,Parks,193,04000US27
Minnesota,7/31/20,Parks,198,04000US27
Minnesota,8/1/20,Parks,150,04000US27
Minnesota,8/2/20,Parks,225,04000US27
Minnesota,8/3/20,Parks,185,04000US27
Minnesota,8/4/20,Parks,201,04000US27
Minnesota,8/5/20,Parks,183,04000US27
Minnesota,8/6/20,Parks,183,04000US27
Minnesota,8/7/20,Parks,155,04000US27
Minnesota,2/15/20,Transit Stations,5,04000US27
Minnesota,2/16/20,Transit Stations,-3,04000US27
Minnesota,2/17/20,Transit Stations,-6,04000US27
Minnesota,2/18/20,Transit Stations,6,04000US27
Minnesota,2/19/20,Transit Stations,3,04000US27
Minnesota,2/20/20,Transit Stations,0,04000US27
Minnesota,2/21/20,Transit Stations,8,04000US27
Minnesota,2/22/20,Transit Stations,5,04000US27
Minnesota,2/23/20,Transit Stations,6,04000US27
Minnesota,2/24/20,Transit Stations,5,04000US27
Minnesota,2/25/20,Transit Stations,6,04000US27
Minnesota,2/26/20,Transit Stations,6,04000US27
Minnesota,2/27/20,Transit Stations,4,04000US27
Minnesota,2/28/20,Transit Stations,8,04000US27
Minnesota,2/29/20,Transit Stations,6,04000US27
Minnesota,3/1/20,Transit Stations,6,04000US27
Minnesota,3/2/20,Transit Stations,2,04000US27
Minnesota,3/3/20,Transit Stations,3,04000US27
Minnesota,3/4/20,Transit Stations,4,04000US27
Minnesota,3/5/20,Transit Stations,-1,04000US27
Minnesota,3/6/20,Transit Stations,3,04000US27
Minnesota,3/7/20,Transit Stations,7,04000US27
Minnesota,3/8/20,Transit Stations,7,04000US27
Minnesota,3/9/20,Transit Stations,-5,04000US27
Minnesota,3/10/20,Transit Stations,-1,04000US27
Minnesota,3/11/20,Transit Stations,-2,04000US27
Minnesota,3/12/20,Transit Stations,-8,04000US27
Minnesota,3/13/20,Transit Stations,-7,04000US27
Minnesota,3/14/20,Transit Stations,-10,04000US27
